name,party,votes,isWinner,isIncumbent,district
Doug Lamborn,R,155528,True,True,CO05
David Torres,D,111978,False,False,CO05
Jason Crow,D,170140,True,True,CO06
Steven Monahan,R,105084,False,False,CO06
Brittany Pettersen,D,204984,True,False,CO07
Erik Aadland,R,150509,False,False,CO07
Diana DeGette,D,226929,True,True,CO01
Jennifer Qualteri,R,49530,False,False,CO01
Yadira Caraveo,D,114377,True,False,CO08
Barbara Kirkmeyer,R,112745,False,False,CO08
John Larson,D,150355,True,True,CT01
Larry Lazor,R,91536,False,False,CT01
Joe Courtney,D,165947,True,True,CT02
Mike France,R,114504,False,False,CT02
Rosa DeLauro,D,137924,True,True,CT03
Lesley DeNardis,R,98704,False,False,CT03
Jim Himes,D,140246,True,True,CT04
Jayme Stevenson,R,95518,False,False,CT04
Jahana Hayes,D,127795,True,True,CT05
George Logan,R,125834,False,False,CT05
Lisa Rochester,D,178416,True,True,DE00
Lee Murphy,R,138201,False,False,DE00
Neal Dunn,R,180218,True,True,FL02
Al Lawson,D,121120,False,True,FL02
Kat Cammack,R,178090,True,True,FL03
Danielle Hawk,D,103342,False,False,FL03
Aaron Bean,R,165678,True,False,FL04
LaShonda Holloway,D,108358,False,False,FL04
John Rutherford,R,0,True,True,FL05
Michael Waltz,R,226490,True,True,FL06
Cory Mills,R,177957,True,False,FL07
Karen Green,D,126052,False,False,FL07
Bill Posey,R,222119,True,True,FL08
Joanne Terry,D,120050,False,False,FL08
Darren Soto,D,108522,True,True,FL09
Scotty Moore,R,93815,False,False,FL09
Maxwell Frost,D,117929,True,False,FL10
Calvin Wimbish,R,78838,False,False,FL10
Daniel Webster,R,205989,True,True,FL11
Shante Munns,D,115629,False,False,FL11
Gus Bilirakis,R,226579,True,True,FL12
Kimberly Walker,D,95368,False,False,FL12
Anna Luna,R,181473,True,False,FL13
Eric Lynn,D,153839,False,False,FL13
Kathy Castor,D,149689,True,True,FL14
James Judge,R,113408,False,False,FL14
Laurel Lee,R,145211,True,False,FL15
Alan Cohn,D,102816,False,False,FL15
Vern Buchanan,R,189738,True,True,FL16
Jan Schneider,D,115537,False,False,FL16
Greg Steube,R,222433,True,True,FL17
Andrea Kale,D,123739,False,False,FL17
Scott Franklin,R,167393,True,True,FL18
Brian Mast,R,208592,True,True,FL21
Corinna Balderramos Robinson,D,119859,False,False,FL21
Lois Frankel,D,149977,True,True,FL22
Dan Franzese,R,122187,False,False,FL22
Jared Moskowitz,D,143897,True,False,FL23
Joe Budd,R,130669,False,False,FL23
Matt Gaetz,R,197320,True,True,FL01
Rebekah Jones,D,93416,False,False,FL01
Frederica Wilson,D,133416,True,True,FL24
Jesus Navarro,R,52442,False,False,FL24
Debbie Wasserman Schultz,D,129085,True,True,FL25
Carla Spalding,R,105227,False,False,FL25
Mario Diaz-Balart,R,143226,True,True,FL26
Christine Olivo,D,58838,False,False,FL26
Maria Elvira Salazar,R,136031,True,True,FL27
Annette Taddeo,D,101370,False,False,FL27
Byron Donalds,R,213032,True,True,FL19
Cindy Banyai,D,100198,False,False,FL19
Sheila Cherfilus-McCormick,D,136192,True,True,FL20
Drew Montez Clark,R,52150,False,False,FL20
Carlos Gimenez,R,134456,True,True,FL28
Robert Asencio,D,76647,False,False,FL28
Buddy Carter,R,156016,True,True,GA01
Wade Herring,D,107662,False,False,GA01
Sanford Bishop,D,132501,True,True,GA02
Chris West,R,108579,False,False,GA02
Drew Ferguson,R,213461,True,True,GA03
Val Almonord,D,96799,False,False,GA03
Hank Johnson,D,216247,True,True,GA04
Jonathan Chavez,R,59272,False,False,GA04
Nikema Williams,D,243471,True,True,GA05
Christian Zimm,R,51754,False,False,GA05
Lucy McBath,D,142852,True,True,GA07
Mark Gonsalves,R,91195,False,False,GA07
Austin Scott,R,178601,True,True,GA08
Darrius Butler,D,81773,False,False,GA08
Andrew Clyde,R,212672,True,True,GA09
Mike Ford,D,81206,False,False,GA09
Mike Collins,R,198413,True,False,GA10
Tabitha Johnson-Green,D,109075,False,False,GA10
Barry Loudermilk,R,190035,True,True,GA11
Antonio Daza,D,113535,False,False,GA11
Rick Allen,R,157951,True,True,GA12
Elizabeth Johnson,D,107089,False,False,GA12
David Scott,D,216150,True,True,GA13
Caesar Gonzales,R,48209,False,False,GA13
Marjorie Taylor Greene,R,170003,True,True,GA14
Marcus Flowers,D,88074,False,False,GA14
Rich McCormick,R,206783,True,False,GA06
Bob Christian,D,125552,False,False,GA06
Jill Tokuda,D,127995,True,False,HI02
Joe Akana,R,72455,False,False,HI02
Ed Case,D,142742,True,True,HI01
Conrad Kress,R,50833,False,False,HI01
Mariannette Miller-Meeks,R,162947,True,True,IA01
Christina Bohannan,D,142223,False,False,IA01
Ashley Hinson,R,172167,True,True,IA02
Liz Mathis,D,145930,False,False,IA02
Zach Nunn,R,156261,True,False,IA03
Cindy Axne,D,154117,False,True,IA03
Randy Feenstra,R,186467,True,True,IA04
Ryan Melton,D,84229,False,False,IA04
Russ Fulcher,R,222891,True,True,ID01
Kaylee Peterson,D,82261,False,False,ID01
Mike Simpson,R,172456,True,True,ID02
Wendy Norman,D,98635,False,False,ID02
Jonathan Jackson,D,151414,True,False,IL01
Eric Carlson,R,77123,False,False,IL01
Delia Ramirez,D,111781,True,False,IL03
Justin Burau,R,55054,False,False,IL03
Chuy Garcia,D,87889,True,True,IL04
James Falakos,R,36926,False,False,IL04
Mike Quigley,D,171947,True,True,IL05
Tommy Hanson,R,77154,False,False,IL05
Sean Casten,D,148159,True,True,IL06
Keith Pekau,R,125572,False,False,IL06
Danny Davis,D,0,True,True,IL07
Raja Krishnamoorthi,D,117324,True,True,IL08
Chris Dargis,R,89078,False,False,IL08
Janice Schakowsky,D,168757,True,True,IL09
Maxwell Rice,R,69224,False,False,IL09
Brad Schneider,D,144420,True,True,IL10
Joseph Severino,R,87502,False,False,IL10
Bill Foster,D,145298,True,True,IL11
Catalina Lauf,R,113648,False,False,IL11
Mike Bost,R,213438,True,True,IL12
Homer Markel,D,69581,False,False,IL12
Nikki Budzinski,D,136123,True,False,IL13
Regan Deering,R,107357,False,False,IL13
Lauren Underwood,D,127458,True,True,IL14
Scott Gryder,R,108045,False,False,IL14
Mary Miller,R,209191,True,True,IL15
Paul Lange,D,83765,False,False,IL15
Darin LaHood,R,196009,True,True,IL16
Elizabeth Haderlein,D,98188,False,False,IL16
Eric Sorensen,D,119601,True,False,IL17
Esther Joy King,R,111457,False,False,IL17
Robin Kelly,D,137665,True,True,IL02
Thomas Lynch,R,68334,False,False,IL02
Frank J. Mrvan,D,112539,True,True,IN01
Jennifer-Ruth Green,R,100486,False,False,IN01
Rudy Yakym,R,125222,True,False,IN02
Paul Steury,D,62726,False,False,IN02
Jim Banks,R,131252,True,True,IN03
Gary Snyder,D,60312,False,False,IN03
Jim Baird,R,134442,True,True,IN04
Roger Day,D,62668,False,False,IN04
Victoria Spartz,R,146496,True,True,IN05
Jeannine Lake,D,93373,False,False,IN05
Greg Pence,R,130482,True,True,IN06
Cynthia Wirth,D,62743,False,False,IN06
Andre Carson,D,116870,True,True,IN07
Angela Grabovsky,R,53487,False,False,IN07
Larry Bucshon,R,141746,True,True,IN08
Ray McCormick,D,67947,False,False,IN08
Erin Houchin,R,138765,True,False,IN09
Matthew Fyfe,D,75631,False,False,IN09
Tracey Mann,R,159258,True,True,KS01
James Beard,D,75726,False,False,KS01
Sharice Davids,D,163138,True,True,KS03
Amanda Adkins,R,127164,False,False,KS03
Jake LaTurner,R,132765,True,True,KS02
Patrick Schmidt,D,97580,False,False,KS02
Ron Estes,R,142863,True,True,KS04
Bob Hernandez,D,82138,False,False,KS04
Morgan McGarvey,D,160853,True,False,KY03
Stuart Ray,R,98622,False,False,KY03
Harold Rogers,R,177714,True,True,KY05
Conor Halbleib,D,38549,False,False,KY05
Andy Barr,R,154760,True,True,KY06
Geoffrey Young,D,83003,False,False,KY06
James Comer,R,184103,True,True,KY01
Jimmy Ausbrooks,D,61693,False,False,KY01
Brett Guthrie,R,170486,True,True,KY02
Hank Linderman,D,66767,False,False,KY02
Thomas Massie,R,167541,True,True,KY04
Matthew Lehman,D,79977,False,False,KY04
Steve Scalise,R,177642,True,True,LA01
Katie Darling,D,61458,False,False,LA01
Troy Carter,D,158120,True,True,LA02
Dan Lux,R,46926,False,False,LA02
Clay Higgins,R,144423,True,True,LA03
Holden Hoggatt,R,24474,False,False,LA03
Lessie LeBlanc,D,23641,False,False,LA03
Tia LeBrun,D,21172,False,False,LA03
Thomas Payne,R,4012,False,False,LA03
Jacob Shaheen,R,1955,False,False,LA03
Mike Johnson,R,0,True,True,LA04
Julia Letlow,R,151080,True,True,LA05
Oscar Dantzler,D,35149,False,False,LA05
Walter Huff,D,19383,False,False,LA05
Allen Guillory,R,12159,False,False,LA05
Hunter Pullen,R,5782,False,False,LA05
Garret Graves,R,189684,True,True,LA06
Brian Belzer,R,15535,False,False,LA06
Richard Neal,D,153402,True,True,MA01
Dean Martilli,R,96499,False,False,MA01
James McGovern,D,178472,True,True,MA02
Jeffrey Sossa-Paquette,R,91100,False,False,MA02
Lori Trahan,D,145507,True,True,MA03
Dean Tran,R,82628,False,False,MA03
Jake Auchincloss,D,0,True,True,MA04
Seth Moulton,D,190062,True,True,MA06
Bob May,R,107496,False,False,MA06
Ayanna Pressley,D,144902,True,True,MA07
Donnie Palmer,R,26481,False,False,MA07
Stephen Lynch,D,184084,True,True,MA08
Robert Burke,R,80961,False,False,MA08
Bill Keating,D,193426,True,True,MA09
Jesse Brown,R,131936,False,False,MA09
Katherine Clark,D,198617,True,True,MA05
Caroline Colarusso,R,70694,False,False,MA05
Andy Harris,R,159673,True,True,MD01
Heather Mizeur,D,126511,False,False,MD01
Dutch Ruppersberger,D,159000,True,True,MD02
Nicolee Ambrose,R,109081,False,False,MD02
John Sarbanes,D,175514,True,True,MD03
Yuripzy Morgan,R,115801,False,False,MD03
Glenn Ivey,D,144204,True,False,MD04
Jeff Warner,R,15441,False,False,MD04
Steny Hoyer,D,182478,True,True,MD05
Chris Palombi,R,94000,False,False,MD05
David Trone,D,140294,True,True,MD06
Neil Parrott,R,115771,False,False,MD06
Kweisi Mfume,D,151640,True,True,MD07
Scott Collier,R,32737,False,False,MD07
Jamie Raskin,D,211842,True,True,MD08
Gregory Coll,R,47965,False,False,MD08
Chellie Pingree,D,218630,True,True,ME01
Edwin Thelander,R,128996,False,False,ME01
Jared Golden,D,165136,True,True,ME02
Bruce Poliquin,R,146142,False,False,ME02
Jack Bergman,R,231652,True,True,MI01
Bob Lorinser,D,144952,False,False,MI01
John Moolenaar,R,215092,True,True,MI02
Jerry Hilliard,D,115710,False,False,MI02
Hillary Scholten,D,186109,True,False,MI03
John Gibbs,R,142321,False,False,MI03
Bill Huizenga,R,185778,True,True,MI04
Joseph Alfonso,D,145041,False,False,MI04
Tim Walberg,R,196498,True,True,MI05
Bart Goldberg,D,109549,False,False,MI05
Debbie Dingell,D,241763,True,True,MI06
Whittney Williams,R,125168,False,False,MI06
Elissa Slotkin,D,192828,True,True,MI07
Tom Barrett,R,172619,False,False,MI07
Daniel Kildee,D,178318,True,True,MI08
Paul Junge,R,143845,False,False,MI08
Lisa McClain,R,238289,True,True,MI09
Brian Jaye,D,123692,False,False,MI09
John James,R,159203,True,False,MI10
Carl Marlinga,D,157602,False,False,MI10
Haley Stevens,D,224080,True,True,MI11
Mark Ambrose,R,141312,False,False,MI11
Rashida Tlaib,D,196601,True,True,MI12
Steven Elliott,R,72889,False,False,MI12
Shri Thanedar,D,166203,True,False,MI13
Martell Bivings,R,56111,False,False,MI13
Brad Finstad,R,159621,True,True,MN01
Jeff Ettinger,D,125457,False,False,MN01
Angie Craig,D,165583,True,True,MN02
Tyler Kistner,R,148576,False,False,MN02
Dean Phillips,D,198883,True,True,MN03
Tom Weiler,R,134797,False,False,MN03
Betty McCollum,D,200055,True,True,MN04
May Lor Xiong,R,95493,False,False,MN04
Ilhan Omar,D,214224,True,True,MN05
Cicely Davis,R,70702,False,False,MN05
Tom Emmer,R,198145,True,True,MN06
Jeanne Hendricks,D,120852,False,False,MN06
Michelle Fischbach,R,204766,True,True,MN07
Jill Abahsain,D,84455,False,False,MN07
Pete Stauber,R,188755,True,True,MN08
Jen Schultz,D,141009,False,False,MN08
Ann Wagner,R,173035,True,True,MO02
Trish Gunby,D,135639,False,False,MO02
Blaine Luetkemeyer,R,180358,True,True,MO03
Bethany Mann,D,96465,False,False,MO03
Mark Alford,R,181023,True,False,MO04
Jack Truman,D,66671,False,False,MO04
Emanuel Cleaver,D,139882,True,True,MO05
Jacob Turk,R,83794,False,False,MO05
Sam Graves,R,184070,True,True,MO06
Henry Martin,D,71939,False,False,MO06
Eric Burlison,R,177957,True,False,MO07
Kristen Radaker-Sheafer,D,67082,False,False,MO07
Jason Smith,R,186259,True,True,MO08
Randi McCallian,D,53661,False,False,MO08
Cori Bush,D,160042,True,True,MO01
Andrew Jones,R,53572,False,False,MO01
Bennie Thompson,D,108285,True,True,MS02
Brian Flowers,R,71884,False,False,MS02
Michael Guest,R,132481,True,True,MS03
Shuwaski Young,D,54803,False,False,MS03
Mike Ezell,R,127813,True,False,MS04
Johnny DuPree,D,42876,False,False,MS04
Trent Kelly,R,122152,True,True,MS01
Dianne Black,D,45238,False,False,MS01
Ryan Zinke,R,122706,True,False,MT01
Monica Tranel,D,115143,False,False,MT01
Matt Rosendale,R,121939,True,True,MT02
Penny Ronning,D,43470,False,False,MT02
Greg Murphy,R,166520,True,True,NC03
Barbara Gaskins,D,82378,False,False,NC03
David Rouzer,R,164047,True,True,NC07
Charles Graham,D,120222,False,False,NC07
Richard Hudson,R,131453,True,True,NC09
Ben Clark,D,101202,False,False,NC09
Chuck Edwards,R,174232,True,False,NC11
Jasmine Beach-Ferrara,D,144165,False,False,NC11
Don Davis,D,134996,True,False,NC01
Sandy Smith,R,122780,False,False,NC01
Deborah Ross,D,190714,True,True,NC02
Christine Villaverde,R,104155,False,False,NC02
Valerie Foushee,D,194983,True,False,NC04
Courtney Geels,R,96442,False,False,NC04
Virginia Foxx,R,175279,True,True,NC05
Kyle Parrish,D,102269,False,False,NC05
Kathy Manning,D,139553,True,True,NC06
Christian Castelli,R,116635,False,False,NC06
Dan Bishop,R,183998,True,True,NC08
Scott Huffman,D,79192,False,False,NC08
Patrick McHenry,R,194681,True,True,NC10
Pam Genant,D,73174,False,False,NC10
Alma Adams,D,140494,True,True,NC12
Tyler Lee,R,83415,False,False,NC12
Wiley Nickel,D,143090,True,False,NC13
Bo Hines,R,134256,False,False,NC13
Jeff Jackson,D,148738,True,False,NC14
Pat Harrigan,R,109014,False,False,NC14
Kelly Armstrong,R,147980,True,True,ND00
Mike Flood,R,127671,True,True,NE01
Patty Pansing Brooks,D,91940,False,False,NE01
Adrian Smith,R,171967,True,True,NE03
David Else,D,34703,False,False,NE03
Don Bacon,R,111388,True,True,NE02
Tony Vargas,D,104868,False,False,NE02
Chris Pappas,D,166853,True,True,NH01
Karoline Leavitt,R,141895,False,False,NH01
Ann McLane Kuster,D,171742,True,True,NH02
Robert Burns,R,135573,False,False,NH02
Donald Norcross,D,139559,True,True,NJ01
Claire Gustafson,R,78794,False,False,NJ01
Jeff Van Drew,R,138784,True,True,NJ02
Tim Alexander,D,94025,False,False,NJ02
Christopher Smith,R,173288,True,True,NJ04
Matthew Jenkins,D,81233,False,False,NJ04
Josh Gottheimer,D,145559,True,True,NJ05
Frank Pallotta,R,117873,False,False,NJ05
Frank Pallone,D,106238,True,True,NJ06
Susan Kiley,R,75839,False,False,NJ06
Robert Menendez,D,78371,True,False,NJ08
Marcos Arroyo,R,24956,False,False,NJ08
Andy Kim,D,150497,True,True,NJ03
Bob Healey,R,118413,False,False,NJ03
Thomas Kean Jr.,R,158675,True,False,NJ07
Tom Malinowski,D,149268,False,True,NJ07
Donald Payne Jr.,D,100644,True,True,NJ10
David Pinckney,R,25984,False,False,NJ10
Bonnie Watson Coleman,D,125127,True,True,NJ12
Darius Mayfield,R,71175,False,False,NJ12
Bill Pascrell,D,82457,True,True,NJ09
Billy Prempeh,R,65365,False,False,NJ09
Mikie Sherrill,D,161238,True,True,NJ11
Paul DeGroot,R,109944,False,False,NJ11
Teresa Leger Fernandez,D,134195,True,True,NM03
Alexis Martinez Johnson,R,96560,False,False,NM03
Gabriel Vasquez,D,96984,True,False,NM02
Yvette Herrell,R,95638,False,True,NM02
Melanie Stansbury,D,156386,True,True,NM01
Michelle Garcia Holmes,R,124115,False,False,NM01
Dina Titus,D,114916,True,True,NV01
Mark Robertson,R,102355,False,False,NV01
Susie Lee,D,130237,True,True,NV03
April Becker,R,120102,False,False,NV03
Mark Amodei,R,181689,True,True,NV02
Elizabeth Krause,D,115186,False,False,NV02
Steven Horsford,D,115836,True,True,NV04
Sam Peters,R,105037,False,False,NV04
Nicholas LaLota,R,173275,True,False,NY01
Bridget Fleming,D,136899,False,False,NY01
Andrew Garbarino,R,148654,True,True,NY02
Jackie Gordon,D,95217,False,False,NY02
George Santos,R,142673,True,False,NY03
Robert Zimmerman,D,121094,False,False,NY03
Anthony D'Esposito,R,139063,True,False,NY04
Laura Gillen,D,129077,False,False,NY04
Gregory Meeks,D,97981,True,True,NY05
Paul King,R,32393,False,False,NY05
Grace Meng,D,79506,True,True,NY06
Thomas Zmich,R,46188,False,False,NY06
Nydia Velazquez,D,111968,True,True,NY07
Juan Pagan,R,27142,False,False,NY07
Hakeem Jeffries,D,93295,True,True,NY08
Yuri Dashevsky,R,35486,False,False,NY08
Daniel Goldman,D,149261,True,False,NY10
Benine Hamdan,R,27230,False,False,NY10
Nicole Malliotakis,R,113485,True,True,NY11
Max Rose,D,69241,False,False,NY11
Jerrold Nadler,D,186357,True,True,NY12
Michael Zumbluskas,R,41264,False,False,NY12
Adriano Espaillat,D,0,True,True,NY13
Alexandria Ocasio-Cortez,D,78788,True,True,NY14
Tina Forte,R,30661,False,False,NY14
Ritchie Torres,D,72610,True,True,NY15
Stylo Sapaskis,R,15265,False,False,NY15
Jamaal Bowman,D,131550,True,True,NY16
Miriam Flisser,R,73385,False,False,NY16
Michael Lawler,R,142206,True,False,NY17
Sean Patrick Maloney,D,139892,False,True,NY17
Pat Ryan,D,132365,True,True,NY18
Colin Schmitt,R,129757,False,False,NY18
Marcus Molinaro,R,144075,True,False,NY19
Josh Riley,D,137873,False,False,NY19
Paul Tonko,D,159015,True,True,NY20
Elizabeth Joy,R,130012,False,False,NY20
Elise Stefanik,R,166536,True,True,NY21
Matt Castelli,D,113882,False,False,NY21
Brandon Williams,R,135061,True,False,NY22
Francis Conole,D,132432,False,False,NY22
Nick Langworthy,R,189790,True,False,NY23
Max Della Pia,D,102323,False,False,NY23
Claudia Tenney,R,181679,True,True,NY24
Steven Holden,D,91793,False,False,NY24
Joseph Morelle,D,148681,True,True,NY25
La'Ron Singletary,R,128502,False,False,NY25
Brian Higgins,D,154477,True,True,NY26
Steven Sams,R,87189,False,False,NY26
Yvette Clarke,D,111162,True,True,NY09
Greg Landsman,D,151418,True,False,OH01
Steve Chabot,R,137213,False,True,OH01
Joyce Beatty,D,174846,True,True,OH03
Lee Stahley,R,74335,False,False,OH03
Jim Jordan,R,196655,True,True,OH04
Tamie Wilson,D,87106,False,False,OH04
Bob Latta,R,184205,True,True,OH05
Craig Swartz,D,90614,False,False,OH05
Bill Johnson,R,186965,True,True,OH06
Louis Lyras,D,89086,False,False,OH06
Max Miller,R,164904,True,False,OH07
Matthew Diemer,D,132548,False,False,OH07
Marcy Kaptur,D,147512,True,True,OH09
J.R. Majewski,R,113363,False,False,OH09
Mike Turner,R,161792,True,True,OH10
David Esrati,D,98383,False,False,OH10
Shontel Brown,D,162154,True,True,OH11
Eric Brewer,R,46862,False,False,OH11
Emilia Sykes,D,146621,True,False,OH13
Madison Gesiotto Gilbert,R,132181,False,False,OH13
David Joyce,R,180251,True,True,OH14
Matt Kilboy,D,111155,False,False,OH14
Mike Carey,R,140012,True,True,OH15
Gary Josephson,D,104613,False,False,OH15
Brad Wenstrup,R,188300,True,True,OH02
Samantha Meadows,D,64329,False,False,OH02
Warren Davidson,R,177132,True,True,OH08
Vanessa Enoch,D,95829,False,False,OH08
Troy Balderson,R,187322,True,True,OH12
Amy Rippel-Elton,D,82101,False,False,OH12
Kevin Hern,R,142620,True,True,OK01
Adam Martin,D,80835,False,False,OK01
Frank Lucas,R,147302,True,True,OK03
Jeremiah Ross,D,50320,False,False,OK03
Tom Cole,R,149777,True,True,OK04
Mary Brannon,D,74598,False,False,OK04
Josh Brecheen,R,167687,True,False,OK02
Naomi Andrews,D,54149,False,False,OK02
Stephanie Bice,R,152567,True,True,OK05
Joshua Harris-Till,D,96709,False,False,OK05
Cliff Bentz,R,206144,True,True,OR02
Joe Yetter,D,98910,False,False,OR02
Earl Blumenauer,D,211510,True,True,OR03
Joanna Harbour,R,79215,False,False,OR03
Val Hoyle,D,169561,True,False,OR04
Alek Skarlatos,R,144361,False,False,OR04
Lori Chavez-DeRemer,R,176733,True,False,OR05
Jamie McLeod-Skinner,D,168959,False,False,OR05
Suzanne Bonamici,D,209955,True,True,OR01
Christopher Mann,R,98632,False,False,OR01
Andrea Salinas,D,146577,True,False,OR06
Mike Erickson,R,139431,False,False,OR06
Brian Fitzpatrick,R,201567,True,True,PA01
Ashley Ehasz,D,165796,False,False,PA01
Dwight Evans,D,251116,True,True,PA03
Madeleine Dean,D,224799,True,True,PA04
